section_one,section_two,label
""" If that ain 't a Democrat , I must be at the wrong meeting , "" he said .","And if that ain 't a Democrat , then I must be in the wrong meeting , "" he said to thunderous applause from his supporters .",0
"The blue-chip Dow Jones industrial average eased 44 points , or 0.47 percent , to 9,543 , after scoring five consecutive up sessions .","The Dow Jones industrial average .DJI rose 18.25 points , or 0.19 percent , to 9,586.71 .",0
"The Nasdaq composite index inched up 1.28 , or 0.1 percent , to 1,766.60 , following a weekly win of 3.7 percent .","The technology-laced Nasdaq Composite Index .IXIC was off 24.44 points , or 1.39 percent , at 1,739.87 .",0
"Standard & Poor 's 500 stock index futures declined 4.40 points to 983.50 , while Nasdaq futures fell 6.5 points to 1,206.50 .","The Standard & Poor 's 500 Index was up 1.75 points , or 0.18 percent , to 977.68 .",0
The yield on the 3 percent note maturing in 2008 fell 22 basis points to 2.61 percent .,"The yield fell 2 basis points to 1.41 percent , after reaching 1.4 percent on May 8 , the lowest since March 12 .",0
"The pressure will intensify today , with national coverage of the final round planned by ESPN and words that are even more difficult .","The pressure may well rise today , with national coverage of the final round planned by ESPN , the cable sports network .",0
"The resulting lists led toa CBS special , AFI 's 100 Years . . . 100 Heroes & Villains , hosted by Arnold Schwarzenegger .","A prime-time special on the list , "" AFI 's 100 Years . . . 100 Heroes & Villains "" aired Tuesday on CBS .",0
Police warned residents on Friday not to travel alone and to avoid convenience stores and service stations stores at night .,Police advised residents Friday not to travel alone to convenience stores and to be watchful .,0
"On Friday , the Food and Drug Administration approved the use of silicone breast implants with conditions .",The drug was approved for use Friday by the Food and Drug Administration .,0
"The ECB has cut interest rates six times over that period , from 4.75 percent in October 2000 to 2.5 percent .",The ECB has cut rates from 4.75 percent in October 2000 to 2.5 percent in that period .,0
"The loonie , meanwhile , continued to slip in early trading Friday .","The loonie , meanwhile , was on the rise again early Thursday .",0
Arison said Mann may have been one of the pioneers of the world music movement and he had a deep love of Brazilian music .,Arison said Mann was a pioneer of the world music movement -- well before the term was coined -- and he had a deep love of Brazilian music .,0
"Wim Wenders directed a widely praised film of the same name , based on the sessions .",A widely praised film of the same name was directed by Wim Wenders .,0
""" His progress is steady , he 's stable , he 's comfortable , "" Jack said Tuesday afternoon .",""" His progress is steady , he is stable , "" said Dr Jack .",0
Total sales for the period declined 8.0 percent to $ 1.99 billion from a year earlier .,Wal-Mart said sales at stores open at least a year rose 4.6 percent from a year earlier .,0
"Among Fox viewers , 41 percent describe themselves as Republicans , 24 percent as Democrats and 30 percent as Independents .","Among CNN viewers , 29 percent said they were Republicans and 36 percent called themselves conservatives .",0
Shares of Corixa fell 12 cents to $ 6.88 as of 3 : 59 p.m.,Shares of Corixa fell 12 cents to $ 6.88 on the Nasdaq stock market .,0
Qanbar said the council members would possibly elect a chairman later Sunday .,US authorities have said the council would include 20 to 25 members .,0
The Securities and Exchange Commission brought a related civil case on Thursday .,The Securities and Exchange Commission filed a civil fraud suit against the teen in Boston .,0
"They were found in a stolen van , said James Flateau , a spokesman for the state Department of Correctional Services .","State troopers arrested the men in a stolen van at the Jubilee Market on Route 14 in Horseheads , said James Flateau , a Department of Correctional Services spokesman .",0
"Sun was the lone major vendor to see its shipments decline , falling 2.9 percent to 59,692 units .","IBM ( NYSE : IBM ) was the fastest-growing vendor , with sales jumping 37 percent to 220,000 units .",0
"The city index outperformed the Dow Jones industrial average , which fell 0.9 percent for the week .","The blue-chip Dow Jones industrial average .DJI tacked on 97 points , or 1.14 percent , to 8,699 .",0
""" This man gambled with our lives and we , the passengers , lost , "" said Andres Rivera Jr . , who was also on the bus .",""" This man gambled with our lives and we , the passengers , lost , "" said passenger Andres Rivera Jr . , whose 15-year-old niece , Jazmine Santiago , was killed .",0
"The company 's operating loss rose 59 percent to $ 73 million , from $ 46 million a year earlier .",Operating revenue fell 4.5 percent to $ 2.3 billion from a year earlier .,0
"Gillette shares rose $ 1.45 , or 4.5 percent , to $ 33.95 in afternoon New York Stock Exchange trading .",Shares of Gillette closed down 45 cents at $ 33.70 in trading Wednesday on the New York Stock Exchange .,0
"Even without call center requests , companies using the handset option must have 95 percent of their customers using the technology by the end of 2005 .",Those that choose the handset option must have 95 percent of their customers using the technology by the end of 2005 .,0
Microsoft fell 5 percent before the open to $ 27.45 from Thursday 's close of $ 28.91 .,Shares in Microsoft slipped 4.7 percent in after-hours trade to $ 27.54 from a Nasdaq close of $ 28.91 .,0
"U.S. Airways ordered 85 Bombardier jets with 50 seats and 75 seats and 85 Embraer jets with 70 seats , it said in a release .","Bombardier and Embraer will each deliver 85 jets by September 2006 , U.S. Airways said in a release .",0
"In a statement distributed Friday , 28 Chechen non-governmental organizations said they would boycott the vote .","In a statement distributed today , 28 Chechen non-governmental organisations said they would boycott the vote and warned voters to expect fraud .",0
""" It 's a huge black eye , "" said New York Times Company chairman Arthur Sulzberger .",""" It 's a huge black eye , "" said publisher Arthur Ochs Sulzberger Jr . , whose family has controlled the paper since 1896 .",0
Dotson was arrested Monday in his native Maryland and charged with murder .,"Dotson , 21 , was subsequently charged with Dennehy 's murder .",0
"The 1 5 / 8 percent note maturing in April 2005 gained 1 / 16 to 100 13 / 32 , lowering its yield 1 basis points to 1.41 percent .",The yield on the 3 percent note maturing in 2008 fell 22 basis points to 2.61 percent .,0
"Mr. Bush had sought to store his papers in his father 's presidential library , where they would have stayed secret for a half-century .","In Texas , public watchdog groups opposed Mr. Bush 's efforts to house his papers at his father 's presidential library , where they would have remained secret for a half-century .",0
Arts helped coach the youth on an eighth-grade football team at Lombardi Middle School in Green Bay .,The boy was a student at Lombardi Middle School in Green Bay .,0
"At 8 a.m. Friday , San Joaquin County Sheriff 's deputies found the body of Adan Avalos , 37 .",San Joaquin County sheriff 's deputies found 37-year-old Adan Avalos of Riverbank shot to death inside the SUV .,0
"Technology stocks make up 42 percent of the Nasdaq , which fell 49.95 points , or 2.9 percent , to 1,698.02 .","The Nasdaq fell 49.95 points , or 2.86 percent , to end at 1,698.02 , based on the latest available data .",0
"Shares of AstraZeneca AZN.N , Europe 's second biggest drugmaker , rose 3.71 percent to close at $ 43.05 on the New York Stock Exchange .","Shares of AstraZeneca , Europe ’ s second biggest drug company , rose 3 per cent on the New York Stock Exchange after the news .",0
""" This blackout was largely preventable , "" Energy Secretary Spencer Abraham said .",""" Things go wrong , "" U.S. Energy Secretary Spencer Abraham said Wednesday at the Department of Energy .",0
"At last nights protest , demonstratorschanted "" tapping our phones , reading our mail , the LEIU should go to jail . ""","Protesters chanted , "" Tapping our phones , reading our mail , the LEIU should go to jail , "" put on small skits and danced to drumbeats .",0
The calculation shows that the number of deaths from pneumonia and influenza have exceeded the usual number for recent weeks .,One is a statistical calculation based on the number of deaths from pneumonia and influenza in 122 cities .,0
"Outside the court , Sriyanto , who faces up to 25 years ' jail , denied he had done anything wrong .","Outside the court , Sriyanto denied to The Age that he had done anything wrong .",0
The transaction will expand Callebaut 's sales revenues from its consumer products business to 45 percent from 23 percent .,The transaction will expand Callebaut 's sales revenues from its consumer products business by around 45 percent to some one-third of total sales .,0
"A sign outside the Peachtree Restaurant reads : "" Pray for Eric Rudolph . """,""" Rudolph ate here "" , joked a sign outside one restaurant .",0
"A 25 percent increase would raise undergraduate tuition to about $ 5,247 annually , including miscellaneous , campus-based fees .","The 25 percent hike takes annual UC undergraduate tuition to $ 4,794 and graduate fees to $ 5,019 .",0
"Hundreds of reporters and photographers swamped the courthouse grounds before the hearing , which was carried live on national cable networks .",Hundreds of reporters and photographers swamped the town and the short hearing involving the five-time All-Star was carried live on national cable networks .,0
Niels told an interviewer in 1999 he thought the Old Man would outlive him by many years .,"In 1999 , two years before his death , Mr. Nielsen told an interviewer that he thought the rock face would outlive him by many years .",0
""" I 'm quite positive about it except I wouldn 't want it to cut across anything now occurring and she accepts that , "" he said .",""" I 'm quite positive about it , except that I would not want to cut across things that are now occurring , "" he said .",0
""" I started crying and yelling at him , ' What do you mean , what are you saying , why did you lie to me ? ' ""","Gulping for air , I started crying and yelling at him , ' What do you mean ?",0
"The Dow Jones industrial average .DJI jumped 2.09 percent , while the Standard & Poor 's 500 Index .SPX leapt 2.23 percent .","The broad Standard & Poor 's 500 Index .SPX gained 11.22 points , or 1.13 percent , at 1,007.19 .",0
"Initial autopsy reports show they died of dehydration , hyperthermia and suffocation .","Two more died later , and initial autopsy reports show they succumbed to dehydration , hypothermia and suffocation .",0
"Most of those on board were Lebanese but some were from Benin , Guinea and Sierra Leone .","Some of the passengers were from Benin , Guinea and Sierra Leone .",0
"In December , he anticipated growth of 5.3 percent to nearly $ 154 billion .","In December , he had predicted a 5 percent growth rate .",0
""" I 'm taking his office , and we 're gonna keep on building , ' ' he vowed . """,""" Yes , I 'm taking his office and we 're going to keep on building and keep on fighting , "" he added .",0
"The transfers would reduce P & G 's worldwide work force to slightly less than 100,000 .","The transfers would reduce P & G ’ s worldwide work force to slightly less than 100,000 , down from 110,000 several years ago .",0
"In court papers filed Tuesday , Lee asked for an injunction against Viacom 's use of the name , saying he had never given his consent for it to be used .","In papers filed Tuesday in Manhattan 's state Supreme Court , Lee asked for an injunction against Viacom 's use of the name Spike for TNN .",0
"Glover said the killer used a "" peculiar slipknot "" on the ligature he used to strangle some of the victims .","Glover said the killer used a ``peculiar slipknot , ' ' including a coaxial cable and an extension cord , to strangle some of the victims .",0
""" If it ain 't broke , don 't fix it , "" said Senate Minority Leader Tom Daschle , D-S.D. "" I don 't see much broken . """,""" If it ain 't broke , don 't fix it , "" said Senate Minority Leader Tom Daschle , a South Dakota Democrat .",0
Media Editor Jon Friedman contributed to this story .,Jon Friedman is media editor for CBS.MarketWatch.com in New York .,0
"Against the Swiss franc CHF = , the dollar was at 1.3172 francs , down 0.60 percent .",Against the yen the dollar was down 0.7 percent at 110.73 yen .,0
"Instead , Weida decided that Meester 's case on charges of rape , sodomy , indecent assault and providing alcohol to minors should proceed to a court-martial .","Douglas Meester , 20 , is charged with rape , sodomy , indecent assault , and providing alcohol to minors .",0
""" Craxi begged me to intervene because he believed the operation damaged the state , "" Mr Berlusconi said .",""" I had no direct interest and Craxi begged me to intervene because he believed that the deal was damaging to the state , "" Berlusconi testified .",0
The euro tagged another record high against the dollar on Tuesday as demand for higher-yielding euro-based assets overshadowed solid U.S. economic data .,The euro ros further into record territory on Tuesday as demand for higher-yielding euro-based assets overshadowed U.S. economic data showing rising consumer confidence and a strong housing market .,0
"The technology-laced Nasdaq Composite Index .IXIC rose 17.33 points , or 1.07 percent , to 1,640.13 .","The broader Standard & Poor 's 500 Index .SPX gained 5.51 points , or 0.56 percent , to 981.73 .",0
""" It 's going to happen , "" said Jim Santangelo , president of the Teamsters Joint Council 42 in El Monte .",""" That really affects the companies , big time , "" said Jim Santangelo , president of the Teamsters Joint Council 42 in El Monte .",0
"The seizure occurred at 4am on March 18 , just hours before the first American air assault .",The seizure at 4 a.m. on March 18 was completed before employees showed up for work that day .,0
Bloomberg said on Wednesday that all 16 crew members survived and would be tested for drugs and alcohol .,He said the ferry 's crew will be interviewed and tested for drugs and alcohol .,0
The moment of reckoning has arrived for this West African country founded by freed American slaves in the 19th century .,Taylor is now expected to leave the broken shell of a nation founded by freed American slaves in the 19th century .,0
"The time was about 4 a.m. on March 18 , just hours before the first pinpoint missiles rained down on the capital .","The seizure occurred at 4am on March 18 , just hours before the first American air assault .",0
"In early U.S. trade , the euro was down 1.06 percent at $ 1.1607 < EUR = > .","In late afternoon trade in New York , the euro was down 0.83 percent against the dollar at $ 1.1633 < EUR = > .",0
""" Deviant cannibalistic tendencies "" were the primary motivation for the murders , and Brown 's body was mutilated , authorities said .","They were killed over a few days in April 2001 and "" deviant cannibalistic tendencies "" were the primary motivation for the murders , authorities said .",0
""" I have always tried to be honest with you and open about my life , "" Mr. Limbaugh told his audience , which numbers 22 million listeners a week .","You know I have always tried to be honest with you and open about my life , Limbaugh said during a stunning admission aired nationwide on Friday .",0
"Three-year-old Jaryd Atadero vanished on Oct. 2 , 1999 while on a hiking trip with a church group .",He was on a hiking trip that day with a church group .,0
"The tech-laced Nasdaq Composite Index .IXIC shed 23.45 points , or 1.44 percent , to end at 1,603.97 , based on the latest data .","The Standard & Poor 's 500 Index was up 1.75 points , or 0.18 percent , to 977.68 .",0
"The technology-laced Nasdaq Composite Index .IXIC was off 5.53 points , or 0.33 percent , at 1,662.91 .","The broader Standard & Poor 's 500 Index edged up 1.01 points , or 0.1 percent , at 1,012.67 .",0
Lord of the Rings director Peter Jackson and companion Fran Walsh arrive at the 74th Annual Academy Awards .,Lord of the Rings director Peter Jackson and longtime companion Fran Walsh .,0
Massachusetts Attorney General Tom Reilly said he was satisfied with the reimbursement .,Massachusetts Attorney General Tom Reilly did not let the judge 's penny-pinching get him down .,0
"AutoAdvice is available as a one-year subscription at $ 400 per CPU , scaling from one to 50,000 CPUs .","SAN Architect will run approximately $ 2,400 while AutoAdvice is available with coverage from one to 50,000 CPUs .",0
Her body was found several weeks later in the Green River .,"Aug. 15 , 1982 : Remains of Chapman , Hinds and Mills are found in the Green River .",0
"One question was whether France , which infuriated Washington by leading the charge against U.N. authorization for the war , would vote "" Yes "" or abstain .","France , which infuriated Washington by leading the charge against U.N. approval for the war , also sought changes .",0
He has also served on the president 's Homeland Security Advisory Council .,"Last year , Bush appointed him to the Homeland Security Advisory Council .",0
""" And if there is a leak out of my administration , "" he added , "" I want to know who it is .","He added , "" There 's just too many leaks in Washington , and if there is a leak out of my administration , I want to know who it is .",0
ECUSA is the U.S. branch of the 70 million-member Anglican Communion .,The Episcopal Church is the American branch of the Anglican Communion .,0
"Attorney John Barnett , who represents Morse , showed photos of a scratch on Morse 's neck and the officer 's bloody ear .","After Jackson testified he never touched the officers during the struggle on the ground , Barnett showed photos of a scratch on Morse 's neck and the officer 's bloody ear .",0
"In early afternoon trading , the Dow Jones industrial average was up 7.58 , or 0.1 percent , at 9,381.79 .","The blue-chip Dow Jones industrial average .DJI was down 63.09 points , or 0.68 percent , at 9,270.70 .",0
"Currently , the state 's congressional delegation is made up of 17 Democrats and 15 Republicans .","Although Republicans now hold every statewide office , the state 's congressional delegation comprises 17 Democrats and 15 Republicans .",0
Only 29 families of frogs are known and most were identified and described in the mid-1800s and the last in 1926 .,"Only 29 families of frogs are known , most of which were named by the mid-1800s .",0
"Likewise , the 30-year bond US30YT = RR slid 23 / 32 for a yield of 4.34 percent , up from 4.30 percent .","The 30-year bond US30YT = RR lost 16 / 32 , taking its yield to 4.20 percent from 4.18 percent .",0
China has threatened to execute or jail for life anyone who breaks their quarantine and intentionally spreads the killer SARS virus .,"China , haunted by the spread of SARS in its vast countryside , has threatened to execute or jail for life anyone who intentionally spreads the killer virus .",0
"The Yankees , however , had big trouble handling Victor Zambrano ( 4-4 ) for the second straight time .",The Yankees wasted no time breaking through against Zambrano ( 4-4 ) in the rematch .,0
Yeager said the suspect in the Target attack showed tendencies of being a prior offender .,"Yeager said the incident appeared to be isolated , but the suspect showed tendencies of being a prior offender .",0
"Tenet has been under scrutiny since November , when former Chief Executive Jeffrey Barbakow said the company used aggressive pricing to trigger higher payments for the sickest Medicare patients .","In November , Jeffrey Brabakow , the chief executive at the time , said the company used aggressive pricing to get higher payments for the sickest Medicare patients .",0
"Freeman 's civil hearing may be , on the surface , about a driver 's license .",Freeman said not having a driver license has been a burden .,0
The Senate Armed Services Committee will hold a separate hearing Thursday .,It has not come to a vote yet in the Senate Armed Services Committee .,0
"The bodies of former Invercargill man Warren Campbell , 32 , and climbing companion Jonathan Smith , 47 , were recovered from below Mt D 'Archiac late yesterday morning .","Warren David Campbell , 32 , and climbing companion Jonathan Smith , 47 , did not return as expected on Tuesday from climbing on Mt D 'Archiac in the McKenzie District .",0
"In 2001 , President Bush named Kathy Gregg to the Student Loan Marketing Association board of directors .","In 2001 , President Bush named her to the Student Loan Marketing Association , the largest U.S. lender for students .",0
"Deaths in rollover crashes accounted for 82 percent of the number of traffic deaths in 2002 , the agency says .","Fatalities in rollover crashes accounted for 82 percent of the increase in 2002 , NHTSA said .",0
"This week 's tour will take Bush to Senegal , South Africa , Botswana , Uganda and Nigeria , and is aimed at softening his warrior image at home and abroad .","In his first trip to sub-Saharan Africa as president , Mr. Bush will visit Senegal , South Africa , Botswana , Uganda and Nigeria before returning home on Saturday .",0
Executive recruiters say that finding a seasoned chief merchandising officer will perhaps be the trickiest of all hires because there is such a dearth of good ones .,Executive recruiters say that finding a seasoned chief merchandising officer perhaps will be the trickiest of all hires .,0
"Five more human cases of West Nile virus , were reported by the Mesa County Health Department on Wednesday .","As of this week , 103 human West Nile cases in 45 counties had been reported to the health department .",0
"NBC probably will end the season as the second most popular network behind CBS , although it 's first among the key 18-to- 49-year-old demographic .","NBC will probably end the season as the second most-popular network behind CBS , which is first among the key 18-to-49-year-old demographic .",0
"In Europe , France 's CAC-40 rose 0.6 percent , Britain 's FTSE 100 slipped 0.02 percent and Germany 's DAX index advanced 0.8 percent .","In afternoon trading in Europe , France 's CAC-40 fell 1.6 percent , Britain 's FTSE 100 dropped 1.2 percent and Germany 's DAX index lost 1.9 percent .",0
Advancing issues outnumbered decliners about 8 to 5 on the New York Stock Exchange .,Declining issues outnumbered advancers slightly more than 3 to 1 on the New York Stock Exchange .,0
It was the 23-9 Yankees ' third straight defeat - their longest skid of the season .,The Yankees are in their first team-wide slump of the season .,0
"Solomon 5.5 is available initially in the United States and Canada , for a starting price of about $ 12,700 .",Solomon 5.5 is now available in the U.S. and Canada through Microsoft Business Solutions resellers .,0
History will remember the University of Washington 's Dr. Belding Scribner as the man who has saved more than a million lives by making long-term kidney dialysis possible .,"Dr. Belding Scribner , inventor of a device that made long-term kidney dialysis possible and has saved more than a million lives , has died in Seattle at age 82 .",0
"In the United States , 20.7 percent of all women smoke .","Nevada is where the most women smoke , 28 percent .",0
"But he will meet the French President , Jacques Chirac , privately .",They include French President Jacques Chirac and German Chancellor Gerhard Schroeder .,0
"The technology-laced Nasdaq Composite Index dipped 0.08 of a point to 1,646 .","The technology-laced Nasdaq Composite Index < .IXIC > added 1.92 points , or 0.12 percent , at 1,647.94 .",0
"Sen. Bob Graham , Florida Democrat , raised $ 2 million after getting a late start .","Further back , Sen. Bob Graham of Florida reported about $ 1.7 million on hand .",0
"Top U.S. executives are feeling increasingly sunny about business conditions and corporate profits , according to a survey released Monday .","Business confidence among top U.S. executives hit a 12-month high in the second quarter , according to a survey released Monday .",0
Country-music station KKCS has suspended two disc jockeys for playing songs by the Dixie Chicks in violation of a ban imposed after one group member criticized President George Bush .,"A radio station has suspended two disc jockeys for locking themselves in the studio and continuously playing Dixie Chicks songs , violating the station 's two-month-old ban on the group 's music .",0
"It 's also a strategic win for Overture , given that Knight Ridder had the option of signing on Google 's services .","It 's also a strategic win for Overture , given that Knight Ridder had been using Google 's advertising services .",0
"Swedish telecom equipment maker Ericsson ( nasdaq : QCOM - news - people ) scrambled up $ 2.19 , or almost 12 percent , to $ 20.59 .","Telecom equipment maker Lucent Technologies Inc . ( nyse : QCOM - news - people ) rallied 43 cents , or 12.3 percent , to $ 3.95 .",0
McKnight 's lawyers say there is no proof her cocaine use caused the child 's death .,McKnight 's lawyers said she had no intention of harming the child .,0
An animal rights group waited Friday to find out if it has succeeded in putting a stop to a state-sponsored program allowing hunters to shoot wolves from airplanes in Alaska .,An Alaska judge has rejected an attempt by an animal rights group to stop a state-sponsored program allowing hunters to shoot wolves from airplanes in Alaska .,0
""" In relation to the second paper , one part of that should have been sourced to a reference work .","He went on : "" One part of that should have been sourced to a reference work .",0
"The court then stayed that injunction , pending an appeal by the Canadian company .",The injunction was immediately stayed pending an appeal to the Federal Circuit Court of Appeals in Washington .,0
Dotson was taken to Chester River Hospital Center where he stayed overnight .,Dotson was taken to an area hospital for a psychiatric evaluation .,0
Civilian reservists also could be sent overseas for jobs such as the reconstruction of Afghanistan and Iraq .,"Civilian reservists also could be sent overseas for jobs such as reconstruction in Afghanistan and Iraq , working in positions from translator to truck driver .",0
"The teen was in surgery at Sacred Heart Medical Center , and the extent of his injuries was not available , Bragdon said .","The teen was in critical condition at Sacred Heart Medical Center , police said in a news release .",0
The conservancy helped in the purchase of the land from the Estate of Samuel Mills Damon for $ 22 million .,The park service purchased the land from the estate of Samuel Mills Damon for $ 22 million .,0
"Sir Paul already has three children fashion designer Stella , 31 , Mary , 33 , and James , 25 by his wife Linda , who died from breast cancer in 1998 .","McCartney has three children - fashion designer Stella , 31 , Mary , 33 , and James , 25 - by first wife Linda .",0
"In recent years , Mr. Hampton continued to run into trouble , facing charges of fare-beating and credit-card theft .","In recent years , Hampton kept in touch with friends and stayed in trouble : He faced charges of fare-beating and credit-car theft .",0
The House and Senate are expected to vote on the omnibus bill in the next two months .,The House Republican leadership said it expected to call members back Dec. 8 for a vote on the omnibus bill .,0
"PeopleSoft gained 94 cents , or 5.5 percent , to $ 18.09 .","PeopleSoft gained $ 1.09 , or 6.3 percent , to $ 18.24 and was Nasdaq 's most active issue .",0
""" Canada is a small country , and it needs companies like this , deals like this . ""","A passionate nationalist , Mr. D 'Alessandro said : "" Canada is a small country , and we need more companies like this . """,0
Revenue rose to $ 616.5 million from $ 610.6 million a year earlier .,"Revenue was up a tad , from $ 610.6 million to $ 616.5 million .",0
"I urge Congress to quickly resolve any differences and send me the final bill as soon as possible so that I can sign it into law . ""","He urged Congress to "" send me the final bill as soon as possible so that I can sign it into law . """,0
"Reuters reported Braun ended June with $ 22,126 in the bank , according to her FEC report , and the Rev. Al Sharpton reported $ 12,061 in the bank .","Former Illinois Sen. Carol Moseley Braun ended June with $ 22,126 in the bank , according to her FEC report .",0
"After learning she would no longer get an experimental drug that treated her severe peanut allergy , Allison Smith reacted with panic .",The nurse called Allison Smith with the news : The experimental drug that so effectively treated her severe peanut allergy was being taken away .,0
"Darren Dopp , a Spitzer spokesman , declined to comment late Thursday .","John Heine , a spokesman for the commission in Washington , declined to comment on Mr. Spitzer 's criticism .",0
